name,AVG(avg_fill_ratio)
Westermeyer - Paul Vaillant-Couturier,1.504896293111017
BNF - Bibliothèque Nationale de France,1.3132624347948025
Madeleine Vionnet,1.2780546121705119
Place Balard,1.2316582456629088
Bercy - Villot,1.2154685583964153
Enfants du Paradis - Peupliers,1.1627015445116728
Quai du Président Roosevelt - Pont Aval,0.9669453720652824
Bercy.,0.9396880980036953
Guynemer - Séverine,0.9369225174059898
Esplanade du Foncet - Camille Desmoulins,0.9339544563730554
Quai Panhard et Levassor,0.9321692728285865
Bruneseau - Quai d'Ivry,0.9309438239629535
Maison de Radio - France,0.9304258754103321
Place Marcel Sembat,0.9259946226796344
Ventadour - Opéra,0.9253575872721604
Regnault - Patay,0.9248144057386317
Jean de la Fontaine - Boulainvilliers,0.9217007380262507
Charlot - Stade Gabriel Voisin,0.9207319953626378
Gare RER - Maurice Grandcoing,0.919961390455627
Pyramide - Ecole du Breuil,0.9183411405013366
Saint-Augustin,0.9178850460700835
Quai Jules Guesde - Saint-Simon,0.9176765689248287
Favart - Italiens,0.9165546397115265
Choiseul - Quatre Septembre,0.9133108680481146
Malesherbes - Place de la Madeleine,0.9121952039749489
Taitbout - La Fayette,0.9117545145494069
François 1er - Montaigne,0.9084951149358464
Pau Casals - Neuve Tolbiac,0.9063957357685165
Primo Levi - Frigos,0.9054903074731242
Chevaleret - Louise Weiss,0.905320401405568
Liberté - Vert-de-Maisons,0.9026588520440912
Laffitte - Italiens,0.9021847696622706
Roquépine - Malesherbes,0.9015138262983424
Fief - République,0.8980130058011273
Terroirs de France - Lheureux,0.8961934736434708
Place de la Reine Astrid,0.8955996635070969
Victoire - Laffitte,0.895385601616825
Quai Marcel Boyer - Victor Hugo,0.8950270368713215
Président Roosevelt - Rouget de Lisle,0.8945343711766197
Boudreau - Auber,0.8944288320681224
Proudhon - Président Wilson,0.8923352339355701
Place du Moulin de Javel,0.8921678443675275
Mathurins - Auber,0.8919413042448839
Leredde - Tolbiac,0.8905896852073357
Place de la Madeleine - Royale,0.8904697494846443
Grenelle - Dr Finlay,0.8852451272238971
Place Fernand Forest,0.8848981403083267
Champs de Manoeuvre - Cartoucherie,0.8820459312251546
Chemin de Bretagne,0.8819153652657751
Vivienne - Montmartre,0.8794615669579934
Edouard Vaillant - Paul-Adolphe Souriau,0.8793882772959637
Parvis Corentin Celton,0.8790497782277702
Gare de Lyon - Van Gogh,0.8781216391786452
Fédération - Suffren,0.8754804574052548
Rome - Provence,0.8746073198572734
Quai de la Gare - Pont de Bercy,0.8740831721351245
Cambon - Rivoli,0.8735139275334869
François 1er - Lincoln,0.872960659484391
Route de Sèvres - Porte de Bagatelle,0.8709150315992434
Villersexel - Saint-Germain,0.8701398735296004
Gare RER - Malleret-Joinville,0.8685276322102855
Mairie du 2ème,0.8683970232525273
Halle Freyssinet - Parvis Alan Turing,0.8682491884312332
Place Valhubert,0.8663450560794833
Rouget de Lisle,0.8657568823584451
Boutroux - Porte de Vitry,0.8625046782621973
Hôtel de Ville de Champigny sur Marne,0.8612637898178321
George V - Christophe Colomb,0.8607858808459002
Vincent Auriol - Louise Weiss,0.8592862167130695
Emeriau - Beaugrenelle,0.8585103355548119
Oratoire - Rivoli,0.8581932736469184
Parc Pierre Lagravère,0.8575145099097221
Paul Klee - Place Augusta Holmes,0.8571879396540422
Uzès - Montmartre,0.8569041738193962
Boétie - Ponthieu,0.8538872218930743
Chabanais - Petits Champs,0.8532854117911753
Place Lafayette,0.8525769765259102
Miromesnil - La Boétie,0.8517171006088865
Institut de France,0.8516996964781908
Danielle Casanova - Opéra,0.8508773708856101
M.- A. Lagroua Weill-Hallé -  F. Dolto,0.8506009943852104
Pont Neuf - Rivoli,0.8504566599824466
Rivoli - Musée du Louvre,0.8490889773299061
Saint-Marc - Feydeau,0.8485183369739292
Ranelagh - Maison de la Radio,0.8484735487074846
Gare de Bercy,0.8471977868834291
Kléber - Gouverneur Général Eboué,0.8436123235857604
Dupleix - du Guesclin,0.8431828182271544
Filles Saint-Thomas - Place de la Bourse,0.8423390060486319
Danielle Casanova - Place Vendôme,0.8419369691145379
Commandant Rivière,0.8418645245335448
Place Marcel Cachin,0.841808604375395
Place aux Étoiles,0.8417084135301572
Marceau - Chaillot,0.841513330833145
Bastille - Biscornet,0.8410824000168274
Lucien Bossoutrot - Général Martial Vallin,0.8409684949972996
Henry Farman,0.8381277158676758
Général Martial Valin - Pont du Garigliano,0.8379036064115236
Place Robert Guillemard,0.833630409917698
Rossini - Laffitte,0.8332914445938692
Lamennais - Washington,0.8332812170951024
Bienfaisance - Place de Narvik,0.8332282253859783
Daunou - Louis le Grand,0.832956734586529
Place de l'Insurrection d'Août 1944,0.8327560833440971
Nationale - Place Jules Guesde,0.8316295891079116
Place du Palais Royal,0.8283296059615052
Gare d'Austerlitz - Pont Charles de Gaulle,0.8265921934712507
Sèvres - Maréchal Juin,0.8254818532325788
Sèvres - Général Leclerc,0.8253538034296238
Coquillière - Louvre,0.8253278575368973
Mairie du 9ème,0.8252469268856857
Chaussée d'Antin - Haussmann,0.8252326865958646
Place du Canada,0.8238147455825208
Buffon - Jardin des Plantes,0.823460400876801
Saint-Honoré - 29 juillet,0.8230064377144894
Ecole Militaire - Place Joffre,0.8228654876410761
Alger - Rivoli,0.8223588194783632
Square Louis XVI,0.8223494835079899
Jean Mermoz - Champs-Elysées,0.8222166434068565
Rougemont - Poissonnière,0.8209308304410771
Place Ginette Hamelin,0.820795434148627
Le Corbusier - Jean Jaurès,0.819731878779444
Victoire - Chaussée d'Antin,0.8191245243620594
Institut du Monde Arabe - Saint-Germain,0.8187644230312484
Cléry - Montmartre,0.8181627164330562
Place Mongolfier,0.8148748710832703
Stéphanie Bouvard - Gambetta,0.8146980546353066
Louis le Grand - Italiens,0.8139815673035518
Gabriel Péri - Jules Ferry,0.8135268952435933
Balard - Montagne de la Fage,0.8114338402811904
Gare de Lyon - Chalon,0.8114175694652422
Caumartin - Provence,0.8109110620780685
Porte de Clichy - Place des Nations Unies,0.8105650855270092
Taitbout - Châteaudun,0.8094359405682214
Messine - Place Du Pérou,0.8088890734224706
Froment - Bréguet,0.8077321225879577
Beaux-Arts - Bonaparte,0.8073038871311418
Bercy - Traversiére,0.8067401465735679
Place Charles Michels,0.8066327956637316
Javel - André Citroën,0.8053609060189333
Place Farhat Hached,0.8051314541239462
Pont de Levallois-bécon,0.8044429154405257
Charonne - Faubourg Saint-Antoine,0.8041703366656142
Saint-Fiacre - Poissonière,0.8038622454567215
Quai Voltaire,0.8038546852046122
Gare RER,0.8037359756516078
Berri - Haussmann,0.803010846485837
Jean Jaurès - Reine,0.802498069230093
Hameau Fleuri - Marché,0.8015376036381449
Place des Victoires,0.8015163818624569
Fernand Braudel - Vincent Auriol,0.8014695832506025
Stade Auguste Delaune,0.8006945706831186
Quai de l'Horloge - Pont Neuf,0.7997011492300031
Turbigo - Réaumur,0.7996229132441731
Square Cambronne,0.7986209789786156
Gare de Lyon - Place Louis Armand,0.7982813190326105
Artois - Berri,0.7967958187507533
Jacques Callot - Mazarine,0.7962089174053737
Saint-Honoré - Musée du Louvre,0.7955739374545941
Place de l'Eglise - Vitry-sur-Seine,0.7955341844430125
Godot de Mauroy - Madeleine,0.79495315509293
Eugène Oudiné - Dessous Des Berges,0.794809876379285
Londres - Place d'Estienne d'Orves,0.7936489478254283
Hôpital Européen Georges Pompidou,0.7934565572792855
Turbigo - Française,0.7933630982956579
Jean Monnet - Iles,0.792747759641128
Ecole Vétérinaire,0.7921145388448729
Suffren - Champ de Mars,0.7920641916897689
Desaix - Edgar Faure,0.791665104928299
Chevaleret - Tolbiac,0.7903233146529881
Place André Malraux,0.7897879731593533
Beaubourg - Michel-le-Comte,0.7894531166518148
Quai de Sèvres - Manufacture Nationale,0.7884939625655807
Musée d'Orsay,0.7882488882078825
Victor Hugo - Magasins Généraux,0.7871080891537241
